ano,mes,sigla_uf,tipo_consumo,consumo,data
2015,11,AL,Outros,72507,2015-11-01
2015,11,AL,Total,413527,2015-11-01
2015,11,AL,Comercial,63501,2015-11-01
2015,11,BA,Comercial,317495,2015-11-01
2015,11,BA,Outros,396791,2015-11-01
2015,11,BA,Total,2012012,2015-11-01
2015,11,BA,Residencial,563255,2015-11-01
2015,11,BA,Cativo,1755256,2015-11-01
2015,11,BA,Industrial,734471,2015-11-01
2015,11,CE,Cativo,887075,2015-11-01
2015,11,CE,Comercial,196557,2015-11-01
2015,11,CE,Residencial,331946,2015-11-01
2015,11,CE,Industrial,204577,2015-11-01
2015,11,CE,Outros,251632,2015-11-01
2015,11,CE,Total,984712,2015-11-01
2015,11,MA,Industrial,82490,2015-11-01
2015,11,MA,Total,570925,2015-11-01
2015,11,MA,Outros,116650,2015-11-01
2015,11,MA,Comercial,108915,2015-11-01
2015,11,MA,Residencial,262870,2015-11-01
2015,11,MA,Cativo,522495,2015-11-01
2015,11,PB,Outros,87793,2015-11-01
2015,11,PB,Cativo,356194,2015-11-01
2015,11,PB,Industrial,131913,2015-11-01
2015,11,PB,Residencial,143581,2015-11-01
2015,11,PB,Total,439685,2015-11-01
2015,11,PB,Comercial,76398,2015-11-01
2015,11,PE,Industrial,314506,2015-11-01
2015,11,PE,Cativo,964949,2015-11-01
2015,11,PE,Comercial,240866,2015-11-01
2015,11,PE,Outros,205899,2015-11-01
2015,11,PE,Residencial,390160,2015-11-01
2015,11,PE,Total,1151431,2015-11-01
2015,11,PI,Total,302313,2015-11-01
2015,11,PI,Industrial,21752,2015-11-01
2015,11,PI,Cativo,298118,2015-11-01
2015,11,PI,Residencial,145979,2015-11-01
2015,11,PI,Comercial,66581,2015-11-01
2015,11,PI,Outros,68001,2015-11-01
2015,11,RN,Residencial,166344,2015-11-01
2015,11,RN,Industrial,103347,2015-11-01
2015,11,RN,Cativo,401094,2015-11-01
2015,11,RN,Outros,105872,2015-11-01
2015,11,RN,Comercial,91173,2015-11-01
2015,11,RN,Total,466736,2015-11-01
2015,11,SE,Industrial,118264,2015-11-01
2015,11,SE,Outros,59837,2015-11-01
2015,11,SE,Comercial,49319,2015-11-01
2015,11,SE,Cativo,228004,2015-11-01
2015,11,SE,Residencial,85944,2015-11-01
2015,11,SE,Total,313364,2015-11-01
2015,12,AL,Outros,75475,2015-12-01
2015,12,AL,Comercial,66198,2015-12-01
2015,12,AL,Residencial,118884,2015-12-01
2015,12,AL,Industrial,173574,2015-12-01
2015,12,AL,Total,434131,2015-12-01
2015,12,AL,Cativo,404926,2015-12-01
2015,12,BA,Industrial,738940,2015-12-01
2015,12,BA,Cativo,1833731,2015-12-01
2015,12,BA,Comercial,344355,2015-12-01
2015,12,BA,Total,2089120,2015-12-01
2015,12,BA,Outros,398471,2015-12-01
2015,12,BA,Residencial,607354,2015-12-01
2015,12,CE,Total,964838,2015-12-01
2015,12,CE,Industrial,176881,2015-12-01
2015,12,CE,Comercial,201251,2015-12-01
2015,12,CE,Residencial,338209,2015-12-01
2015,12,CE,Outros,248497,2015-12-01
2015,12,CE,Cativo,893353,2015-12-01
2015,12,MA,Total,576143,2015-12-01
2015,12,MA,Cativo,520601,2015-12-01
